"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",13297,"여론조사공정","데일리안",2024-04-01,2024-04-02,"0.87%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14993&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",13277,"메트릭스","연합뉴스",2024-03-30,2024-03-31,"3.77%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14951&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",13224,"미디어토마토","뉴스토마토",2024-03-30,2024-03-31,"3.46%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14902&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",13206,"리처치앤리서치","동아일보",2024-03-28,2024-03-29,"1.87%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14878&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",13158,"한국갤럽","서울경제",2024-03-28,2024-03-29,"3.81%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14823&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",13108,"코리아리서치인터내셔널","MBC",2024-03-26,2024-03-27,"3.98%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14777&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",13085,"조원씨앤아이","스트레이트뉴스",2024-03-23,2024-03-25,"0.75%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14749&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",13084,"한국리서치","KBS",2024-03-24,2024-03-26,"5.14%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14748&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",13023,"엠브레인","YTN",2024-03-24,2024-03-25,"4.1%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14686&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",12921,"한국리서치","전국지표조사(NBS)",2024-03-18,2024-03-20,"5.7%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14577&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
