"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",13206,"리처치앤리서치","동아일보",2024-03-28,2024-03-29,"1.87%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14878&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",13159,"리얼미터","에너지경제신문",2024-03-28,2024-03-29,"1.3%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14824&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",13158,"한국갤럽","서울경제",2024-03-28,2024-03-29,"3.81%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14823&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",13151,"에이스리서치","뉴시스",2024-03-27,2024-03-28,"0.65%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14808&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",13139,"한국갤럽","한국갤럽",2024-03-26,2024-03-28,"5.41%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14805&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",13118,"조원씨앤아이","헤럴드경제",2024-03-25,2024-03-27,"0.89%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14786&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",13108,"코리아리서치인터내셔널","MBC",2024-03-26,2024-03-27,"3.98%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14777&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",13085,"조원씨앤아이","스트레이트뉴스",2024-03-23,2024-03-25,"0.75%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14749&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",13084,"한국리서치","KBS",2024-03-24,2024-03-26,"5.14%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14748&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",13061,"여론조사공정","파이낸스투데이",2024-03-25,2024-03-26,"1.31%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=14728&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
